trade_time,buy_coin,amount,dollar_user_value,price,live,twitter_id,twitter_screen_name,twitter_status_text,tweet_type,dollar_buy_value,bot_name,type,trade_timestamp,buy_timestamp,hold_coin,dollar_fee,hold_pnl,dollar_pnl,percent_pnl,status_id,exchange,platform
2021-10-26 09:53:59,FTM,15,50,3.4363,0,944686196331966464,HsakaTrades,"L1 2.0™ szn https://t.co/B09chLWlaE

@HsakaTrades: SOL --&gt; LUNA --&gt; AVAX SoLunAvax",,,,,,,,,,,,,,
FTM --&gt; ONE --&gt; NEAR --&gt; SCRT,,,,,,,,,,,,,,,,,,,,,,
FantOnEaRet,,,,,,,,,,,,,,,,,,,,,,
Intra basket rotations,,,,,,,,,,,,,,,,,,,,,,
Inter basket rotation,,,,,,,,,,,,,,,,,,,,,,
L1 1.0,,,,,,,,,,,,,,,,,,,,,,
L1 2.0,,,,,,,,,,,,,,,,,,,,,,
Haiku,,,,,,,,,,,,,,,,,,,,,,
2021-09-15 13:42:15,BTC,0.06301,3000,47669,1,,,,,2999.76,lazy_trade_beta_bot,sell,1631713335213210,1631708932122279,USDT,2.25323,-0.6518,-0.6518,-0.0200454,,binance,
2021-09-15 13:36:13,CRV,331.6,1000,3.0179,1,3696215239,nebraskangooner,"Holy tits #CRV https://t.co/mOK2V0K3jD

@nebraskangooner: How in the tits is #CRV still below $3.00?""""",Quoted,1000.74,lazy_trade_beta_bot,buy,1631712973323106,,USDT,0.744908,,,,1.43813245284164e+18,binance,
2021-09-15 13:15:08,ONE,563.4,100,0.17749,0,942966319229566977,Raticoin1,@CoinbasePro when are you gonna list #ONE $ONE @harmonyprotocol  ??,Original,99.9979,lazy_trade_beta_bot,buy,1631711708451598,,USDT,0.0599987,,,,1.4381291081736028e+18,binance,
2021-09-15 13:08:06,ONE,5750,1000,0.17649,1,,,,,1000.55,lazy_trade_beta_bot,sell,1631711286956462,1631711124093815,USDT,0.365282,13.5377,13.5377,1.3525399999999999,0.0,binance_f,
2021-09-15 13:05:24,ONE,5750,1000,0.174009,1,,,,,1000.55,lazy_trade_beta_bot,buy,1631711124093815,,USDT,0.360199,,,,0.0,binance_f,
2021-09-15 12:40:34,AVAX,19,1000,52.9675,1,79714172,zhusu,"T minus 7 ❄️ #Avalanche $AVAX #AVAX https://t.co/RnbAyOwygK

@CryptoSeq: 🚀🚀🚀🚀🚀🚀🚀",,,,,,,,,,,,,,
                              🚀,,,,,,,,,,,,,,,,,,,,,,
                           🚀,,,,,,,,,,,,,,,,,,,,,,
                        🚀,,,,,,,,,,,,,,,,,,,,,,
                     🚀,,,,,,,,,,,,,,,,,,,,,,
                  🚀,,,,,,,,,,,,,,,,,,,,,,
               🚀,,,,,,,,,,,,,,,,,,,,,,
            🚀,,,,,,,,,,,,,,,,,,,,,,
         🚀,,,,,,,,,,,,,,,,,,,,,,
      🚀,,,,,,,,,,,,,,,,,,,,,,
More Days to go until #Avalanche Autumn Begins!,,,,,,,,,,,,,,,,,,,,,,
#AvalancheRush,,,,,,,,,,,,,,,,,,,,,,
$AVAX 🔺,,,,,,,,,,,,,,,,,,,,,,
"https://t.co/SiFXKDhIzi""""",1006.38,lazy_trade_beta_bot,buy,1631709634640350,,USDT,0.362389,,,,1438119401216098306,binance_f,,,,,,,,,,
2021-09-15 12:40:18,AVAX,19,1000,52.9393,1,79714172,zhusu,"T minus 7 ❄️ #Avalanche $AVAX #AVAX https://t.co/RnbAyOwygK

@CryptoSeq: 🚀🚀🚀🚀🚀🚀🚀",,,,,,,,,,,,,,
                              🚀,,,,,,,,,,,,,,,,,,,,,,
                           🚀,,,,,,,,,,,,,,,,,,,,,,
                        🚀,,,,,,,,,,,,,,,,,,,,,,
                     🚀,,,,,,,,,,,,,,,,,,,,,,
                  🚀,,,,,,,,,,,,,,,,,,,,,,
               🚀,,,,,,,,,,,,,,,,,,,,,,
            🚀,,,,,,,,,,,,,,,,,,,,,,
         🚀,,,,,,,,,,,,,,,,,,,,,,
      🚀,,,,,,,,,,,,,,,,,,,,,,
